id_plt,id_cohort,id_axis,N_phytomer,TT_stop_axis,TT_del_axis,id_dim,id_phen,id_ear,TT_em_phytomer1,TT_col_phytomer1,TT_sen_phytomer1,TT_del_phytomer1
19,1,MS,10,NaN,NaN,110,110,1,0.043516,170.27,550,869.17
19,4,T1,7,NaN,NaN,307,307,1,364.04,518.69,800,1119.2
19,5,T2,8,NaN,NaN,408,408,1,452.04,567.87,950,1269.2
19,6,T3,7,NaN,NaN,507,507,1,562.04,671.78,1000,1319.2
19,6,T3,7,NaN,NaN,507,507,1,562.04,671.78,1000,1319.2
19,7,T4,6,NaN,NaN,606,606,1,638.04,750.15,1000,1319.2
19,7,T4,6,1101,2000,606,606,NA,638.04,750.15,1000,1319.2
19,7,T4,6,NaN,NaN,606,606,1,638.04,750.15,1000,1319.2
19,8,T5,5,921,2000,705,705,NA,746.04,848.89,1100,1419.2
19,8,T5,5,921,2000,705,705,NA,746.04,848.89,1100,1419.2
19,8,T5,5,919,2000,705,705,NA,746.04,848.89,1100,1419.2
19,8,T5,5,919,2000,705,705,NA,746.04,848.89,1100,1419.2
19,8,T5,5,919,2000,705,705,NA,746.04,848.89,1100,1419.2
19,9,T6,5,867,2000,805,805,NA,860.04,923.21,1200,1519.2
19,9,T6,5,865,2000,805,805,NA,860.04,923.21,1200,1519.2
19,9,T6,5,865,2000,805,805,NA,860.04,923.21,1200,1519.2
19,9,T6,5,865,2000,805,805,NA,860.04,923.21,1200,1519.2
19,9,T6,5,865,2000,805,805,NA,860.04,923.21,1200,1519.2
19,9,T6,5,867,2000,805,805,NA,860.04,923.21,1200,1519.2
19,9,T6,5,865,2000,805,805,NA,860.04,923.21,1200,1519.2
19,9,T6,5,867,2000,805,805,NA,860.04,923.21,1200,1519.2
20,1,MS,10,NaN,NaN,110,110,1,-7.3235,162.9,550,869.17
20,4,T1,7,NaN,NaN,307,307,1,356.68,513.29,800,1119.2
20,5,T2,7,NaN,NaN,407,407,1,436.68,575.9,950,1269.2
20,6,T3,6,1075,2000,506,506,NA,532.68,673.76,1000,1319.2
20,6,T3,6,1075,2000,506,506,NA,532.68,673.76,1000,1319.2
20,7,T4,6,NaN,NaN,606,606,1,642.68,753.3,1000,1319.2
20,7,T4,6,NaN,NaN,606,606,1,642.68,753.3,1000,1319.2
20,7,T4,6,NaN,NaN,606,606,1,642.68,753.3,1000,1319.2
20,8,T5,6,NaN,NaN,706,706,1,734.68,820.59,1100,1419.2
20,8,T5,6,NaN,NaN,706,706,1,734.68,820.59,1100,1419.2
20,8,T5,6,NaN,NaN,706,706,1,734.68,820.59,1100,1419.2
20,8,T5,6,NaN,NaN,706,706,1,734.68,820.59,1100,1419.2
20,8,T5,6,NaN,NaN,706,706,1,734.68,820.59,1100,1419.2
21,1,MS,10,NaN,NaN,110,110,1,3.9441,174.17,550,869.17
21,4,T1,8,NaN,NaN,308,308,1,359.94,493.44,800,1119.2
21,5,T2,8,NaN,NaN,408,408,1,453.94,569.33,950,1269.2
21,6,T3,7,NaN,NaN,507,507,1,559.94,670.24,1000,1319.2
21,6,T3,7,NaN,NaN,507,507,1,559.94,670.24,1000,1319.2
21,7,T4,6,NaN,NaN,606,606,1,659.94,765.04,1000,1319.2
21,7,T4,6,NaN,NaN,606,606,1,659.94,765.04,1000,1319.2
21,7,T4,6,NaN,NaN,606,606,1,659.94,765.04,1000,1319.2
