DOY;Hour;Rg;RdRg;Group
6;22;0;1;5
6;23;0;1;5
6;24;0;1;5
7;1;0;1;6
7;2;0;1;6
7;3;0;1;6
7;4;0;1;6
7;5;0;1;6
7;6;0;1;6
7;7;0;1;6
7;8;3.608;0;6
7;9;36.04;1;6
7;10;168.5;1;6
7;11;261.5;1;6
7;12;408.7;0.735142195;6
7;13;484.2;0.514493703;6
7;14;413.5;0.550144694;6
7;15;267.4;0.761164843;6
7;16;91.2;0.78878776;6
7;17;3.527;0;6
7;18;0;1;6
7;19;0;1;6
7;20;0;1;6
7;21;0;1;6
7;22;0;1;6
7;23;0;1;6
7;24;0;1;6
8;1;0;1;7
8;2;0;1;7
8;3;0;1;7
8;4;0;1;7
8;5;0;1;7
8;6;0;1;7
8;7;0;1;7
8;8;0.668;0;7
8;9;36.71;1;7
8;10;158.4;1;7
8;11;115.5;1;7
8;12;130.2;1;7
8;13;97.4;1;7
8;14;167.8;1;7
8;15;87.1;1;7
8;16;17.4;1;7
8;17;1.04;0.883157402;7
8;18;0;1;7
8;19;0;1;7
8;20;0;1;7
8;21;0;1;7
8;22;0;1;7
8;23;0;1;7
8;24;0;1;7
9;1;0;1;8
9;2;0;1;8
9;3;0;1;8
9;4;0;1;8
9;5;0;1;8
9;6;0;1;8
9;7;0;1;8
9;8;2.972;1;8
9;9;38.98;1;8
9;10;67.48;1;8
9;11;117.7;1;8
9;12;206.2;1;8
9;13;285.8;0.912175431;8
9;14;376.4;0.578280193;8
9;15;303.6;0.305049193;8
9;16;103.5;0.472627203;8
9;17;5.829;0;8
9;18;0;1;8
9;19;0;1;8
9;20;0;1;8
9;21;0;1;8
9;22;0;1;8
9;23;0;1;8
9;24;0;1;8
10;1;0;1;9
10;2;0;1;9
10;3;0;1;9
10;4;0;1;9
10;5;0;1;9
10;6;0;1;9
10;7;0;1;9
10;8;2.87;0.662368052;9
10;9;47.1;1;9
10;10;122.8;1;9
10;11;179.7;1;9
10;12;185;1;9
10;13;231.1;1;9
10;14;168.3;1;9
10;15;137.3;0.998179399;9
10;16;51.39;1;9
10;17;3.637;0;9
10;18;0;1;9
10;19;0;1;9
10;20;0;1;9
10;21;0;1;9
10;22;0;1;9
10;23;0;1;9
10;24;0;1;9
11;1;0;1;10
11;2;0;1;10
11;3;0;1;10
11;4;0;1;10
11;5;0;1;10
11;6;0;1;10
11;7;0;1;10
11;8;3.601;1;10
11;9;72.9;1;10
11;10;162.6;1;10
11;11;113.5;1;10
11;12;118.3;1;10
11;13;87;1;10
11;14;84.3;1;10
11;15;50.63;1;10
11;16;14.68;1;10
11;17;0.51;0;10
11;18;0;1;10
11;19;0;1;10
11;20;0;1;10
11;21;0;1;10
11;22;0;1;10
11;23;0;1;10
11;24;0;1;10
12;1;0;1;11
12;2;0;1;11
12;3;0;1;11
12;4;0;1;11
12;5;0;1;11
12;6;0;1;11
12;7;0;1;11
12;8;1.546;1;11
12;9;32.14;1;11
12;10;66.12;1;11
12;11;74.9;1;11
12;12;100.7;1;11
12;13;115.8;1;11
12;14;83.4;1;11
12;15;30.96;1;11
12;16;12.34;1;11
12;17;0.482;0;11
12;18;0;1;11
12;19;0;1;11
12;20;0;1;11
12;21;0;1;11
12;22;0;1;11
12;23;0;1;11
12;24;0;1;11
13;1;0;1;12
13;2;0;1;12
13;3;0;1;12
13;4;0;1;12
13;5;0;1;12
13;6;0;1;12
13;7;0;1;12
13;8;3.272;1;12
13;9;44.71;1;12
13;10;93.6;1;12
13;11;218.5;1;12
13;12;188.5;1;12
13;13;196.4;1;12
13;14;163.3;1;12
13;15;122;1;12
13;16;72.8;1;12
13;17;3.254;1;12
13;18;0;1;12
13;19;0;1;12
13;20;0;1;12
13;21;0;1;12
13;22;0;1;12
13;23;0;1;12
13;24;0;1;12
14;1;0;1;13
14;2;0;1;13
14;3;0;1;13
14;4;0;1;13
14;5;0;1;13
14;6;0;1;13
14;7;0;1;13
14;8;9.55;0.521865738;13
14;9;128.5;0.365776363;13
14;10;340.4;0.250843206;13
14;11;523.8;0.21132695;13
14;12;626.8;0.25521707;13
14;13;658.5;0.26021602;13
14;14;496.2;0.358846531;13
14;15;300.6;0.467993032;13
14;16;104.7;0.604879504;13
14;17;8.07;0.772762727;13
14;18;0;1;13
14;19;0;1;13
14;20;0;1;13
14;21;0;1;13
14;22;0;1;13
14;23;0;1;13
14;24;0;1;13
15;1;0;1;14
15;2;0;1;14
15;3;0;1;14
15;4;0;1;14
15;5;0;1;14
15;6;0;1;14
15;7;0;1;14
15;8;13.03;0.807458196;14
15;9;136.2;0.520471174;14
15;10;340.4;0.454004076;14
15;11;523.5;0.36304812;14
15;12;570.2;0.32438383;14
15;13;578.2;0.35682547;14
15;14;455.9;0.458393784;14
15;15;308;0.637835902;14
15;16;99.6;0.860377548;14
15;17;8.69;1;14
15;18;0;1;14
15;19;0;1;14
15;20;0;1;14
15;21;0;1;14
15;22;0;1;14
15;23;0;1;14
15;24;0;1;14
16;1;0;1;15
16;2;0;1;15
16;3;0;1;15
16;4;0;1;15
16;5;0;1;15
16;6;0;1;15
16;7;0;1;15
16;8;7.25;0.971473142;15
16;9;58.52;0.875318727;15
16;10;98.5;1;15
16;11;143.7;1;15
16;12;136.2;1;15
16;13;142.3;1;15
16;14;193.5;1;15
16;15;92.5;1;15
16;16;45.32;1;15
16;17;3.383;1;15
16;18;0;1;15
16;19;0;1;15
16;20;0;1;15
16;21;0;1;15
16;22;0;1;15
16;23;0;1;15
16;24;0;1;15
17;1;0;1;16
17;2;0;1;16
17;3;0;1;16
17;4;0;1;16
17;5;0;1;16
17;6;0;1;16
17;7;0;1;16
17;8;0.767;0;16
17;9;15.74;1;16
17;10;41.96;1;16
17;11;79.7;1;16
17;12;99.5;1;16
17;13;91.7;1;16
17;14;82.1;1;16
17;15;77.9;1;16
17;16;18.06;1;16
17;17;2.602;1;16
17;18;0;1;16
17;19;0;1;16
17;20;0;1;16
17;21;0;1;16
17;22;0;1;16
17;23;0;1;16
17;24;0;1;16
18;1;0;1;17
18;2;0;1;17
18;3;0;1;17
18;4;0;1;17
18;5;0;1;17
18;6;0;1;17
18;7;0;1;17
18;8;4.528;1;17
18;9;26.08;1;17
18;10;50.86;1;17
18;11;96.1;1;17
18;12;110.5;1;17
18;13;187.1;0.945034672;17
18;14;341.4;0.873546869;17
18;15;123.4;0.997640769;17
18;16;49.02;1;17
18;17;3.897;1;17
18;18;0;1;17
18;19;0;1;17
18;20;0;1;17
18;21;0;1;17
18;22;0;1;17
18;23;0;1;17
18;24;0;1;17
19;1;0;1;18
19;2;0;1;18
19;3;0;1;18
19;4;0;1;18
19;5;0;1;18
19;6;0;1;18
19;7;0;1;18
19;8;5.235;1;18
19;9;34.32;1;18
19;10;76.8;1;18
19;11;117.2;1;18
19;12;225.8;1;18
19;13;202.9;1;18
19;14;184;1;18
19;15;200.2;0.951234119;18
19;16;67.81;1;18
19;17;10.27;1;18
19;18;0;1;18
19;19;0;1;18
19;20;0;1;18
19;21;0;1;18
19;22;0;1;18
19;23;0;1;18
19;24;0;1;18
20;1;0;1;19
20;2;0;1;19
20;3;0;1;19
20;4;0;1;19
20;5;0;1;19
20;6;0;1;19
20;7;0;1;19
20;8;0;1;19
20;9;0;1;19
20;10;0;1;19
20;11;0;1;19
20;12;0;1;19
20;13;0;1;19
20;14;0;1;19
20;15;0;1;19
20;16;0;1;19
20;17;0;1;19
20;18;0;1;19
20;19;0;1;19
20;20;0;1;19
20;21;0;1;19
20;22;0;1;19
20;23;0;1;19
20;24;0;1;19
21;1;0;1;20
21;2;0;1;20
21;3;0;1;20
21;4;0;1;20
21;5;0;1;20
21;6;0;1;20
21;7;0;1;20
21;8;0;1;20
21;9;0;1;20
21;10;0;1;20
21;11;0;1;20
21;12;0;1;20
21;13;0;1;20
21;14;0;1;20
21;15;0;1;20
21;16;0;1;20
21;17;0;1;20
21;18;0;1;20
21;19;0;1;20
21;20;0;1;20
21;21;0;1;20
21;22;0;1;20
21;23;0;1;20
21;24;0;1;20
22;1;0;1;21
22;2;0;1;21
22;3;0;1;21
22;4;0;1;21
22;5;0;1;21
22;6;0;1;21
22;7;0;1;21
22;8;0;1;21
22;9;0;1;21
22;10;0;1;21
22;11;0;1;21
22;12;0;1;21
22;13;0;1;21
22;14;0;1;21
22;15;0;1;21
22;16;0;1;21
22;17;0;1;21
22;18;0;1;21
22;19;0;1;21
22;20;0;1;21
22;21;0;1;21
22;22;0;1;21
22;23;0;1;21
22;24;0;1;21
23;1;0;1;22
23;2;0;1;22
23;3;0;1;22
23;4;0;1;22
23;5;0;1;22
23;6;0;1;22
23;7;0;1;22
23;8;0;1;22
23;9;0;1;22
23;10;0;1;22
23;11;0;1;22
23;12;0;1;22
23;13;0;1;22
23;14;0;1;22
23;15;0;1;22
23;16;0;1;22
23;17;0;1;22
23;18;0;1;22
23;19;0;1;22
23;20;0;1;22
23;21;0;1;22
23;22;0;1;22
23;23;0;1;22
23;24;0;1;22
24;1;0;1;23
24;2;0;1;23
24;3;0;1;23
24;4;0;1;23
24;5;0;1;23
24;6;0;1;23
24;7;0;1;23
24;8;0;1;23
24;9;0;1;23
24;10;0;1;23
24;11;0;1;23
24;12;0;1;23
24;13;0;1;23
24;14;0;1;23
24;15;0;1;23
24;16;0;1;23
24;17;0;1;23
24;18;0;1;23
24;19;0;1;23
24;20;0;1;23
24;21;0;1;23
24;22;0;1;23
24;23;0;1;23
24;24;0;1;23
25;1;0;1;24
25;2;0;1;24
25;3;0;1;24
25;4;0;1;24
25;5;0;1;24
25;6;0;1;24
25;7;0;1;24
25;8;0;1;24
25;9;0;1;24
25;10;0;1;24
25;11;0;1;24
25;12;0;1;24
25;13;0;1;24
25;14;0;1;24
25;15;0;1;24
25;16;0;1;24
25;17;0;1;24
25;18;0;1;24
25;19;0;1;24
25;20;0;1;24
25;21;0;1;24
25;22;0;1;24
25;23;0;1;24
25;24;0;1;24
26;1;0;1;25
26;2;0;1;25
26;3;0;1;25
26;4;0;1;25
26;5;0;1;25
26;6;0;1;25
26;7;0;1;25
26;8;0;1;25
26;9;0;1;25
26;10;0;1;25
26;11;0;1;25
26;12;0;1;25
26;13;0;1;25
26;14;0;1;25
26;15;0;1;25
26;16;0;1;25
26;17;0;1;25
26;18;0;1;25
26;19;0;1;25
26;20;0;1;25
26;21;0;1;25
26;22;0;1;25
26;23;0;1;25
26;24;0;1;25
27;1;0;1;26
27;2;0;1;26
27;3;0;1;26
27;4;0;1;26
27;5;0;1;26
27;6;0;1;26
27;7;0;1;26
27;8;0;1;26
27;9;0;1;26
27;10;0;1;26
27;11;0;1;26
27;12;0;1;26
27;13;0;1;26
27;14;0;1;26
27;15;0;1;26
27;16;0;1;26
27;17;0;1;26
27;18;0;1;26
27;19;0;1;26
27;20;0;1;26
27;21;0;1;26
27;22;0;1;26
27;23;0;1;26
27;24;0;1;26
28;1;0;1;27
28;2;0;1;27
28;3;0;1;27
28;4;0;1;27
28;5;0;1;27
28;6;0;1;27
28;7;0;1;27
28;8;0;1;27
28;9;0;1;27
28;10;0;1;27
28;11;0;1;27
28;12;0;1;27
28;13;0;1;27
28;14;0;1;27
28;15;0;1;27
28;16;0;1;27
28;17;0;1;27
28;18;0;1;27
28;19;0;1;27
28;20;0;1;27
28;21;0;1;27
28;22;0;1;27
28;23;0;1;27
28;24;0;1;27
29;1;0;1;28
29;2;0;1;28
29;3;0;1;28
29;4;0;1;28
29;5;0;1;28
29;6;0;1;28
29;7;0;1;28
29;8;0;1;28
29;9;0;1;28
29;10;0;1;28
29;11;0;1;28
29;12;0;1;28
29;13;0;1;28
29;14;0;1;28
29;15;0;1;28
29;16;0;1;28
29;17;0;1;28
29;18;0;1;28
29;19;0;1;28
29;20;0;1;28
29;21;0;1;28
29;22;0;1;28
29;23;0;1;28
29;24;0;1;28
30;1;0;1;29
30;2;0;1;29
30;3;0;1;29
30;4;0;1;29
30;5;0;1;29
30;6;0;1;29
30;7;0;1;29
30;8;0;1;29
30;9;0;1;29
30;10;0;1;29
30;11;0;1;29
30;12;0;1;29
30;13;0;1;29
30;14;0;1;29
30;15;0;1;29
30;16;0;1;29
30;17;0;1;29
30;18;0;1;29
30;19;0;1;29
30;20;0;1;29
30;21;0;1;29
30;22;0;1;29
30;23;0;1;29
30;24;0;1;29
31;1;0;1;30
31;2;0;1;30
31;3;0;1;30
31;4;0;1;30
31;5;0;1;30
31;6;0;1;30
31;7;0;1;30
31;8;0;1;30
31;9;0;1;30
31;10;375.1;0.483359394;30
31;11;555.9;0.339694364;30
31;12;663.9;0.303329551;30
31;13;704;0.274984142;30
31;14;620.6;0.288714468;30
31;15;443.4;0.331731437;30
31;16;213.4;0.439333386;30
31;17;37.76;0.696335644;30
31;18;0;1;30
31;19;0;1;30
31;20;0;1;30
31;21;0;1;30
31;22;0;1;30
31;23;0;1;30
31;24;0;1;30
32;1;0;1;31
32;2;0;1;31
32;3;0.018;0;31
32;4;0;1;31
32;5;0.006;0;31
32;6;0;1;31
32;7;0.044;0;31
32;8;19.39;0.496776039;31
32;9;138.1;0.392127459;31
32;10;373;0.360678786;31
32;11;593.1;0.285444176;31
32;12;719;0.29483456;31
32;13;693.9;0.303313895;31
32;14;583.3;0.346086954;31
32;15;403.5;0.419358364;31
32;16;198.4;0.590924331;31
32;17;40.06;0.821431347;31
32;18;0;1;31
32;19;0;1;31
32;20;0;1;31
32;21;0;1;31
32;22;0;1;31
32;23;0;1;31
32;24;0;1;31
33;1;0;1;32
33;2;0;1;32
33;3;0;1;32
33;4;0;1;32
33;5;0;1;32
33;6;0;1;32
33;7;0;1;32
33;8;4.838;0.883157402;32
33;9;25.14;1;32
33;10;68.26;1;32
33;11;89.5;1;32
33;12;106.5;1;32
33;13;101.4;1;32
33;14;97;1;32
33;15;72.4;1;32
33;16;32.83;1;32
33;17;7.45;1;32
33;18;0;1;32
33;19;0;1;32
33;20;0;1;32
33;21;0;1;32
33;22;0;1;32
33;23;0;1;32
33;24;0;1;32
34;1;0;1;33
34;2;0;1;33
34;3;0;1;33
34;4;0;1;33
34;5;0;1;33
34;6;0;1;33
34;7;0;1;33
34;8;6.166;1;33
34;9;36.23;1;33
34;10;79.9;1;33
34;11;113.6;1;33
34;12;150.6;1;33
34;13;177.1;1;33
34;14;173.9;1;33
34;15;119.7;1;33
34;16;71.3;1;33
34;17;14.23;1;33
34;18;0.079;0;33
34;19;0;1;33
34;20;0;1;33
34;21;0;1;33
34;22;0;1;33
34;23;0;1;33
34;24;0;1;33
35;1;0;1;34
35;2;0;1;34
35;3;0;1;34
35;4;0;1;34
35;5;0;1;34
35;6;0;1;34
35;7;0;1;34
35;8;5.833;1;34
35;9;35.8;1;34
35;10;81.8;1;34
35;11;105.8;1;34
35;12;155.9;1;34
35;13;103.1;1;34
35;14;79.9;1;34
35;15;69.27;1;34
35;16;37.69;1;34
35;17;12.25;1;34
35;18;0;1;34
35;19;0;1;34
35;20;0;1;34
35;21;0;1;34
35;22;0;1;34
35;23;0;1;34
35;24;0;1;34
36;1;0;1;35
36;2;0;1;35
36;3;0;1;35
36;4;0;1;35
36;5;0;1;35
36;6;0;1;35
36;7;0;1;35
36;8;9.69;1;35
36;9;106.2;1;35
36;10;225.3;1;35
36;11;429.6;0.949669702;35
36;12;407.2;0.978896051;35
36;13;167.3;1;35
36;14;109.6;1;35
36;15;119;1;35
36;16;69.18;1;35
36;17;14.79;1;35
36;18;0;1;35
36;19;0;1;35
36;20;0;1;35
36;21;0;1;35
36;22;0;1;35
36;23;0;1;35
36;24;0;1;35
37;1;0;1;36
37;2;0;1;36
37;3;0;1;36
37;4;0;1;36
37;5;0;1;36
37;6;0;1;36
37;7;0;1;36
37;8;10.38;0.924555405;36
37;9;70.2;0.991853698;36
37;10;119.6;1;36
37;11;217.3;1;36
37;12;192.8;0.996180522;36
37;13;221.8;0.993359417;36
37;14;209.7;0.996872218;36
37;15;101.1;1;36
37;16;42.93;1;36
37;17;7.56;1;36
37;18;0;1;36
37;19;0;1;36
37;20;0;1;36
37;21;0;1;36
37;22;0;1;36
37;23;0;1;36
37;24;0;1;36
38;1;0;1;37
38;2;0;1;37
38;3;0;1;37
38;4;0;1;37
38;5;0;1;37
38;6;0;1;37
38;7;0;1;37
38;8;4.478;1;37
38;9;25.88;1;37
38;10;53.69;1;37
38;11;82.8;1;37
38;12;126.2;1;37
38;13;135.1;1;37
38;14;114.2;1;37
38;15;96.3;1;37
38;16;65.82;1;37
38;17;16.69;1;37
38;18;0;1;37
38;19;0;1;37
38;20;0;1;37
38;21;0;1;37
38;22;0;1;37
38;23;0;1;37
38;24;0;1;37
39;1;0;1;38
39;2;0;1;38
39;3;0;1;38
39;4;0;1;38
39;5;0;1;38
39;6;0;1;38
39;7;0;1;38
39;8;4.921;1;38
39;9;54.99;1;38
39;10;276.6;0.693493823;38
39;11;573.9;0.593156882;38
39;12;477.9;0.692491799;38
39;13;443.2;0.509836549;38
39;14;309.9;0.770565818;38
39;15;349.1;0.483820935;38
39;16;99.6;0.902205895;38
39;17;50.06;0.859916418;38
39;18;0.082;0;38
39;19;0;1;38
39;20;0;1;38
39;21;0;1;38
39;22;0;1;38
39;23;0;1;38
39;24;0;1;38
40;1;0;1;39
40;2;0;1;39
40;3;0;1;39
40;4;0;1;39
40;5;0;1;39
40;6;0;1;39
40;7;0;1;39
40;8;24.26;1;39
40;9;164.5;0.769074709;39
40;10;266.5;0.937978223;39
40;11;418.8;0.842978421;39
40;12;471.8;0.851923787;39
40;13;717;0.326560755;39
40;14;567.1;0.648405089;39
40;15;271.4;0.722473497;39
40;16;172.5;0.93089564;39
40;17;64.59;0.666999996;39
40;18;1.627;0;39
40;19;0;1;39
40;20;0;1;39
40;21;0;1;39
40;22;0;1;39
40;23;0;1;39
40;24;0;1;39
41;1;0;1;40
41;2;0;1;40
41;3;0;1;40
41;4;0;1;40
41;5;0;1;40
41;6;0;1;40
41;7;0.4;0;40
41;8;55.36;0.51557297;40
41;9;290.7;0.286133258;40
41;10;542.1;0.247860873;40
41;11;725;0.252618881;40
41;12;814;0.275480291;40
41;13;629.2;0.542928993;40
41;14;675.3;0.289001705;40
41;15;504.6;0.414021534;40
41;16;294.7;0.475286999;40
41;17;97.2;0.625028676;40
41;18;1.221;0;40
41;19;0;1;40
41;20;0;1;40
41;21;0;1;40
41;22;0;1;40
41;23;0;1;40
41;24;0;1;40
42;1;0;1;41
42;2;0;1;41
42;3;0;1;41
42;4;0;1;41
42;5;0;1;41
42;6;0;1;41
42;7;0.476;0;41
42;8;43.79;0.956753852;41
42;9;155.5;0.974869902;41
42;10;218.7;0.98205715;41
42;11;339.5;0.973926357;41
42;12;531.2;0.868149063;41
42;13;877;0.385445815;41
42;14;453.7;0.794696046;41
42;15;274.5;1;41
42;16;130.1;1;41
42;17;49.23;1;41
42;18;0.582;0;41
42;19;0;1;41
42;20;0;1;41
42;21;0;1;41
42;22;0;1;41
42;23;0;1;41
42;24;0;1;41
43;1;0;1;42
43;2;0;1;42
43;3;0;1;42
43;4;0;1;42
43;5;0;1;42
43;6;0;1;42
43;7;0.36;0;42
43;8;22.98;0.989463386;42
43;9;95.2;0.986505609;42
43;10;246.1;0.991941782;42
43;11;371.5;0.95243389;42
43;12;539.4;0.813670398;42
43;13;591.7;0.795190047;42
43;14;474.3;0.928850562;42
43;15;330.9;0.959236624;42
43;16;180.5;0.993552077;42
43;17;27.7;1;42
43;18;0.066;0;42
43;19;0;1;42
43;20;0;1;42
43;21;0;1;42
43;22;0;1;42
43;23;0;1;42
43;24;0;1;42
44;1;0;1;43
44;2;0;1;43
44;3;0;1;43
44;4;0;1;43
44;5;0;1;43
44;6;0;1;43
44;7;0;1;43
44;8;12.63;1;43
44;9;52.34;1;43
44;10;91.8;1;43
44;11;113.8;1;43
44;12;163.1;0.996017467;43
44;13;152.9;1;43
44;14;232;0.998969075;43
44;15;190.9;0.999219155;43
44;16;95.5;1;43
44;17;27.75;1;43
44;18;0.504;1;43
44;19;0;1;43
44;20;0;1;43
44;21;0;1;43
44;22;0;1;43
44;23;0;1;43
44;24;0;1;43
45;1;0;1;44
45;2;0;1;44
45;3;0;1;44
45;4;0;1;44
45;5;0;1;44
45;6;0;1;44
45;7;0.259;0;44
45;8;26.19;0.988295188;44
45;9;177;0.728377239;44
45;10;561.4;0.496951714;44
45;11;230.5;0.999652318;44
45;12;181.5;0.990960653;44
45;13;235.5;0.989199599;44
45;14;131.2;0.998602814;44
45;15;135.3;0.992222021;44
45;16;290;0.691731341;44
45;17;102.8;0.650293634;44
45;18;3.445;0;44
45;19;0;1;44
45;20;0;1;44
45;21;0;1;44
45;22;0;1;44
45;23;0;1;44
45;24;0;1;44
46;1;0;1;45
46;2;0;1;45
46;3;0;1;45
46;4;0;1;45
46;5;0;1;45
46;6;0;1;45
46;7;0;1;45
46;8;9.53;1;45
46;9;42.54;1;45
46;10;109.9;1;45
46;11;234.5;0.995774789;45
46;12;310.7;0.990155318;45
46;13;269.8;0.992857771;45
46;14;262;0.991639729;45
46;15;260.3;0.95744167;45
46;16;177.9;0.914213487;45
46;17;33.27;1;45
46;18;0.755;0;45
46;19;0;1;45
46;20;0;1;45
46;21;0;1;45
46;22;0;1;45
46;23;0;1;45
46;24;0;1;45
47;1;0;1;46
47;2;0;1;46
47;3;0;1;46
47;4;0;1;46
47;5;0;1;46
47;6;0;1;46
47;7;0.734;0;46
47;8;30.57;0.893308637;46
47;9;164.9;0.81422317;46
47;10;532.1;0.605103685;46
47;11;406.8;0.917883494;46
47;12;455.5;0.938597046;46
47;13;350.8;0.987688157;46
47;14;399;0.947572806;46
47;15;383;0.882240312;46
47;16;57.2;1;46
47;17;24.37;1;46
47;18;2.91;0;46
47;19;0;1;46
47;20;0;1;46
47;21;0;1;46
47;22;0;1;46
47;23;0;1;46
47;24;0;1;46
48;1;0;1;47
48;2;0;1;47
48;3;0;1;47
48;4;0;1;47
48;5;0;1;47
48;6;0;1;47
48;7;0.712;0;47
48;8;64.31;0.746831092;47
48;9;273.4;0.615933385;47
48;10;500.5;0.642568554;47
48;11;769;0.465025358;47
48;12;754;0.469769374;47
48;13;492.4;0.699399177;47
48;14;549;0.584845042;47
48;15;335.9;0.640690552;47
48;16;420.6;0.448845727;47
48;17;65.62;0.992866396;47
48;18;4.412;0;47
48;19;0;1;47
48;20;0;1;47
48;21;0;1;47
48;22;0;1;47
48;23;0;1;47
48;24;0;1;47
49;1;0;1;48
49;2;0;1;48
49;3;0;1;48
49;4;0;1;48
49;5;0;1;48
49;6;0;1;48
49;7;1.324;0;48
49;8;80.2;0.820616213;48
49;9;176.7;0.975355153;48
49;10;303.3;0.943710238;48
49;11;238.1;0.999957229;48
49;12;419.1;0.956544176;48
49;13;321.6;0.982131939;48
49;14;438.5;0.784118672;48
49;15;320.1;0.863675989;48
49;16;248.2;0.824053791;48
49;17;67.18;0.988566511;48
49;18;5.833;1;48
49;19;0;1;48
49;20;0;1;48
49;21;0;1;48
49;22;0;1;48
49;23;0;1;48
49;24;0;1;48
50;1;0;1;49
50;2;0;1;49
50;3;0;1;49
50;4;0;1;49
50;5;0;1;49
50;6;0;1;49
50;7;0.029;0;49
50;8;17.43;1;49
50;9;101;1;49
50;10;189.7;0.99638271;49
50;11;246.1;0.999870965;49
50;12;177.4;1;49
50;13;161.7;1;49
50;14;167.1;1;49
50;15;282.9;0.955547353;49
50;16;133.4;0.987809002;49
50;17;26.38;1;49
50;18;0.71;0;49
50;19;0;1;49
50;20;0;1;49
50;21;0;1;49
50;22;0;1;49
50;23;0;1;49
50;24;0;1;49
51;1;0;1;50
51;2;0;1;50
51;3;0;1;50
51;4;0;1;50
51;5;0;1;50
51;6;0;1;50
51;7;0.543;0;50
51;8;46.91;0.988609032;50
51;9;195.5;0.964044716;50
51;10;319.3;0.94486714;50
51;11;227.3;0.989435666;50
51;12;478.4;0.84849546;50
51;13;251.9;0.959266902;50
51;14;336.8;0.98587475;50
51;15;238.1;1;50
51;16;50.14;1;50
51;17;21.68;1;50
51;18;0.312;0;50
51;19;0;1;50
51;20;0;1;50
51;21;0;1;50
51;22;0;1;50
51;23;0;1;50
51;24;0;1;50
52;1;0;1;51
52;2;0;1;51
52;3;0;1;51
52;4;0;1;51
52;5;0;1;51
52;6;0;1;51
52;7;0.259;0;51
52;8;13.52;1;51
52;9;46.9;1;51
52;10;95.5;1;51
52;11;179;1;51
52;12;148.1;1;51
