"plant","axe","nf","end","disp","dimIndex","phenIndex","emf1","ligf1","senf1","dispf1"
8,1,9,NA,NA,2,2,214.027202546884,350.755486070446,650.326152890529,850.326152890529
8,2,8,NA,NA,3,3,228.602438216711,363.993787441558,662.828172496733,862.828172496733
8,3,4,913.004416666667,1513.00441666667,4,4,363.081423155033,493.60178802537,792.13622087071,992.13622087071
8,4,3,630.211916666667,1230.21191666667,5,5,481.812832272745,616.228558978049,1016.15177297329,1216.15177297329
9,0,11,NA,NA,1,1,-72.298185189484,78.5957528345933,363.819921903371,563.81992190337
9,1,9,NA,NA,2,2,220.90356606134,357.631849584902,657.202516404985,857.202516404985
9,2,8,NA,NA,3,3,233.872961433106,369.264310657953,668.098695713128,868.098695713128
9,3,6,NA,NA,4,4,381.042118282370,511.562483152707,810.096915998046,1010.09691599805
9,4,3,744.377166666667,1344.37716666667,5,5,414.445943247035,548.861669952338,948.78488394758,1148.78488394758
10,0,12,NA,NA,1,1,-66.840217879178,84.0537201448993,369.277889213677,569.277889213677
10,1,9,NA,NA,2,2,210.321559823639,347.049843347201,646.620510167284,846.620510167284
10,2,8,NA,NA,3,3,240.759471541771,376.150820766618,674.985205821793,874.985205821793
10,3,4,841.133625,1441.133625,4,4,382.266304729585,512.786669599922,811.321102445261,1011.32110244526
10,4,3,682.596791666667,1282.59679166667,5,5,491.070140820809,625.485867526112,1025.40908152135,1225.40908152135
11,0,11,NA,NA,1,1,-10.503786147251,140.390151876826,425.614320945604,625.614320945604
11,1,9,NA,NA,2,2,198.06469312505,334.792976648612,634.363643468695,834.363643468695
11,2,8,NA,NA,3,3,207.617951516427,343.009300741274,641.843685796449,841.843685796449
11,3,4,682.596791666667,1282.59679166667,4,4,306.475629280512,436.995994150849,735.530426996188,935.530426996188
12,0,11,NA,NA,1,1,13.484189748661,164.378127772738,449.602296841516,649.602296841516
12,1,6,630.211916666667,1230.21191666667,2,2,178.283182416889,315.011465940451,614.582132760534,814.582132760534
12,2,8,NA,NA,3,3,207.738311014255,343.129660239102,641.964045294277,841.964045294277
12,3,4,630.211916666667,1230.21191666667,4,4,314.417631885541,444.937996755878,743.472429601218,943.472429601218
12,4,3,682.596791666667,1282.59679166667,5,5,452.612634710032,587.028361415335,986.951575410577,1186.95157541058
13,0,12,NA,NA,1,1,0.369936717405004,151.263874741482,436.48804381026,636.48804381026
13,1,9,NA,NA,2,2,209.122091432714,345.850374956276,645.421041776359,845.42104177636
13,2,5,550.063791666667,1150.06379166667,3,3,227.576172142973,362.967521367820,661.801906422995,861.801906422995
13,3,4,913.004416666667,1513.00441666667,4,4,317.311950701592,447.832315571929,746.366748417268,946.366748417268
14,0,11,NA,NA,1,1,11.735447089012,162.629385113089,447.853554181867,647.853554181867
14,1,6,550.063791666667,1150.06379166667,2,2,219.738749835111,356.467033358673,656.037700178756,856.037700178756
14,2,5,682.596791666667,1282.59679166667,3,3,210.912318700479,346.303667925326,645.138052980501,845.1380529805
14,3,4,682.596791666667,1282.59679166667,4,4,364.857486723787,495.377851594124,793.912284439464,993.912284439464
15,0,11,NA,NA,1,1,-9.33618737477699,141.557750649300,426.781919718078,626.781919718078
15,1,9,NA,NA,2,2,201.125501205481,337.853784729043,637.424451549126,837.424451549126
15,2,8,NA,NA,3,3,221.588371550962,356.979720775809,655.814105830984,855.814105830984
15,3,7,NA,NA,4,4,320.330915334589,450.851280204926,749.385713050265,949.385713050265
15,4,3,913.004416666667,1513.00441666667,5,5,447.531152231476,581.946878936779,981.87009293202,1181.87009293202
