"plant","axe","nf","end","disp","dimIndex","phenIndex","emf1","ligf1","senf1","dispf1"
9,4,4,814.641958333333,1414.64195833333,5,5,419.2871112065,561.946966989645,912.087526673292,1112.08752667329
10,0,11,NA,NA,1,1,26.4036542596163,166.514170439247,413.188419776269,613.188419776269
10,1,7,744.377166666667,1344.37716666667,2,2,191.459793161039,327.776179006944,582.630696979671,782.630696979671
10,2,6,702.105125,1302.105125,3,3,237.893491359323,372.919842721473,629.103798427322,829.103798427322
10,3,5,630.211916666667,1230.21191666667,4,4,325.376608673005,459.528429211863,728.342432387689,928.342432387689
11,0,11,NA,NA,1,1,-0.811780538560748,139.298735641070,385.972984978092,585.972984978092
11,1,9,NA,NA,2,2,182.801611058436,319.117996904341,573.972514877069,773.972514877069
11,2,6,744.377166666667,1344.37716666667,3,3,216.194648640305,351.221000002455,607.404955708304,807.404955708304
11,3,5,559.007916666667,1159.00791666667,4,4,338.793817941348,472.945638480206,741.759641656032,941.759641656032
12,0,11,NA,NA,1,1,-10.0915203824017,130.018995797229,376.693245134251,576.693245134251
12,1,7,413.690770833333,1013.69077083333,2,2,159.86442512896,296.180810974865,551.035328947592,751.035328947592
12,2,8,NA,NA,3,3,222.961760937494,357.988112299644,614.172068005493,814.172068005493
12,3,5,1015.07358333333,1615.07358333333,4,4,336.529569282528,470.681389821386,739.495392997212,939.495392997212
12,4,4,559.007916666667,1159.00791666667,5,5,468.563771910036,611.223627693181,961.364187376828,1161.36418737683
13,0,12,NA,NA,1,1,-7.09422797910073,133.016288200530,379.690537537552,579.690537537552
13,1,9,NA,NA,2,2,224.284969559418,360.601355405323,615.45587337805,815.45587337805
13,2,6,630.211916666667,1230.21191666667,3,3,223.110236010273,358.136587372423,614.320543078273,814.320543078273
13,3,5,913.004416666667,1513.00441666667,4,4,328.583420803371,462.735241342229,731.549244518055,931.549244518055
13,4,4,559.007916666667,1159.00791666667,5,5,464.292387041355,606.9522428245,957.092802508147,1157.09280250815
14,0,11,NA,NA,1,1,24.2487215300403,164.359237709671,411.033487046693,611.033487046693
14,1,7,559.007916666667,1159.00791666667,2,2,187.441940866497,323.758326712402,578.61284468513,778.61284468513
14,2,6,630.211916666667,1230.21191666667,3,3,250.270498780419,385.296850142569,641.480805848418,841.480805848418
14,3,5,630.211916666667,1230.21191666667,4,4,363.382506916661,497.534327455519,766.348330631345,966.348330631345
15,0,12,NA,NA,1,1,4.13805091827925,144.248567097910,390.922816434932,590.922816434932
15,1,9,NA,NA,2,2,208.878034898055,345.194420743960,600.048938716688,800.048938716688
15,2,6,630.211916666667,1230.21191666667,3,3,198.482083576341,333.508434938491,589.69239064434,789.69239064434
15,3,5,559.007916666667,1159.00791666667,4,4,337.473158553996,471.624979092854,740.43898226868,940.43898226868
15,4,4,559.007916666667,1159.00791666667,5,5,474.224045109948,616.883900893093,967.02446057674,1167.02446057674
