id_axis,N_phytomer,index_phytomer,L_blade,W_blade,L_sheath,W_sheath,L_internode,W_internode
T3,8,5,16.7492976629,0.8487220714,9.7818605134,0.2881714286,4.482238744,0.0644
T3,8,6,17.7249894284,0.9658147143,10.2966663757,0.3207142857,7.0555632263,0.1822
T3,8,7,15.1649170497,1.0829073571,11.6242842385,0.3532571429,13.1826622632,0.3
T3,8,8,10.73604651,1.2,14.72,0.3858,15.34666667,0.4178
T3,5,1,9.6088505462,0.3803515,3.8267611699,0.158,0,0
T3,5,2,11.7250269021,0.5442812,5.9567306364,0.20356,0,0
T3,5,3,14.6945916213,0.7082109,8.5483240228,0.24912,1.5597598918,0
T3,5,4,17.3211765264,0.8721406,10.0299432146,0.29468,5.0452130179,0.0644
T3,5,5,16.8777434491,1.0360703,10.7177784735,0.34024,10.3265086206,0.3
T4,5,1,9.6088505462,0.3803515,3.8267611699,0.158,0,0
T4,5,2,11.7250269021,0.5442812,5.9567306364,0.20356,0,0
T4,5,3,14.6945916213,0.7082109,8.5483240228,0.24912,1.5597598918,0
T4,5,4,17.3211765264,0.8721406,10.0299432146,0.29468,5.0452130179,0.0644
T4,5,5,16.8777434491,1.0360703,10.7177784735,0.34024,10.3265086206,0.3
T4,6,1,8.9155856589,0.3803515,3.2204267469,0.158,0,0
T4,6,2,10.2136798278,0.5169595833,4.4249481392,0.1959666667,0,0
T4,6,3,12.5762200823,0.6535676667,6.777371817,0.2339333333,0,0
T4,6,4,15.4996126969,0.79017575,9.0948235889,0.2719,3.1767530148,0
T4,6,5,17.624417415,0.9267838333,10.1585427884,0.3098666667,5.6718780235,0.0644
T4,6,6,16.1210690361,1.0633919167,11.093436106,0.3478333333,11.8349220259,0.3
T4,7,1,8.9155856589,0.3803515,3.2204267469,0.158,0,0
T4,7,2,10.2136798278,0.5169595833,4.4249481392,0.1959666667,0,0
T4,7,3,12.5762200823,0.6535676667,6.777371817,0.2339333333,0,0
T4,7,4,15.4996126969,0.79017575,9.0948235889,0.2719,3.1767530148,0
T4,7,5,17.624417415,0.9267838333,10.1585427884,0.3098666667,5.6718780235,0.0644
T4,7,6,16.1210690361,1.0633919167,11.093436106,0.3478333333,11.8349220259,0.3
T4,7,7,15.1210690361,1.233919167,12.093436106,0.3878333333,16.8349220259,0.5356
