id_phen,index_phytomer,dTT_em_phytomer,dTT_col_phytomer,dTT_sen_phytomer,dTT_del_phytomer
4081,8,719.0168000000001,786.4246250000001,1220.8594207551073,1920.8271740538123
4091,0,-102.64122222222221,-102.64122222222221,-102.64122222222215,-102.64122222222227
4091,1,0.0,0.0,0.0,0.0
4091,2,41.05648888888885,102.64122222222221,139.88690836212845,139.88690836212845
4091,3,143.69771111111112,205.28244444444442,308.1851623471441,308.1851623471441
4091,4,246.3389333333334,307.9236666666667,476.4834163321599,2007.3406274444444
4091,5,348.9801555555554,410.56488888888873,711.6629761988105,2007.3406274444444
4091,6,451.6213777777777,513.206111111111,911.5286877329389,2007.3406274444444
4091,7,554.2625999999998,615.8473333333332,1069.0075202988814,2007.3406274444444
4091,8,656.9038222222221,718.4885555555553,1196.431548719239,2007.3406274444444
4091,9,759.5450444444443,821.1297777777776,1303.257415812407,2007.3406274444444
5050,0,-132.29516666666666,-132.29516666666666,-306.96100262532,-306.9610026253199
5050,1,0.0,0.0,0.0,0.0
5050,2,-36.592280141844014,132.29516666666666,300.6205731266854,300.6205731266855
5050,3,188.30543636328963,357.1928831718003,512.7238882370813,1607.002514684264
5050,4,469.78451437747395,638.6719611859846,680.0571517969171,1607.002514684264
5050,5,751.2635923916582,920.151039200169,814.216375618506,1607.002514684264
5060,0,-105.47137500000002,-105.47137500000002,-91.54520019128904,-91.54520019128904
5060,1,0.0,0.0,0.0,0.0
5060,2,-29.172933510638416,105.47137499999991,176.04383291146382,176.04383291146382
5060,3,82.69389066293519,217.3381991735735,352.08766582292765,1910.768005683711
5060,4,307.101071513999,441.7453800246373,573.9146891261307,1910.768005683711
5060,5,531.5082523650626,666.1525608757008,786.0180042365287,1910.768005683711
5060,6,755.9154332161265,890.5597417267647,953.3512677963604,1910.768005683711
5070,0,-105.47137500000002,-105.47137500000002,-91.54520019128904,-91.54520019128904
5070,1,0.0,0.0,0.0,0.0
5070,2,-29.172933510638416,105.47137499999991,176.04383291146382,176.04383291146382
5070,3,82.69389066293519,217.3381991735735,352.08766582292765,1910.768005683711
5070,4,307.101071513999,441.7453800246373,573.9146891261307,1910.768005683711
5070,5,531.5082523650626,666.1525608757008,786.0180042365287,1910.768005683711
5070,6,755.9154332161265,890.5597417267647,953.3512677963604,1910.768005683711
5070,7,980.3226140671902,1114.9669225778284,1087.5104916179507,1910.768005683711
6020,0,-101.25299999999996,-101.25299999999999,-158.67066319279797,-158.67066319279797
6020,1,0.0,0.0,0.0,0.0
6020,2,-14.02760494876685,115.23154398740337,214.41981512540292,214.41981512540292
6030,0,-101.25299999999996,-101.25299999999999,-158.67066319279797,-158.67066319279797
6030,1,0.0,0.0,0.0,0.0
6030,2,-14.02760494876685,115.23154398740337,214.41981512540292,214.41981512540292
6030,3,201.40430994485018,330.66345888102035,448.9109125592047,1813.419354116786
6040,0,-91.72137499999997,-91.72137499999997,-106.98640808113748,-106.9864080811376
6040,1,0.0,0.0,0.0,0.0
6040,2,-31.275790188128553,85.8153268331481,144.5762271366723,144.5762271366723
6040,3,163.87607151399902,280.9671885352757,289.1524542733447,1868.6984842284464
6040,4,359.0279332161267,476.11905023740337,500.59516767086654,1868.6984842284464
6050,0,-101.25299999999996,-101.25299999999999,-158.67066319279797,-158.67066319279797
6050,1,0.0,0.0,0.0,0.0
6050,2,-14.02760494876685,115.23154398740337,214.41981512540292,214.41981512540292
6050,3,201.40430994485018,330.66345888102035,448.9109125592047,1813.419354116786
6050,4,416.83622483846716,546.0953737746373,661.0142276696047,1813.419354116786
6050,5,632.2681397320844,761.5272886682545,828.3474912294355,1813.419354116786
7010,0,-133.51659593775798,-133.51659593775798,-306.96100262532013,-306.9610026253199
7010,1,0.0,0.0,0.0,0.0
