plant,axe,nf,end,disp,dimIndex,phenIndex,earIndex,emf1,ligf1,senf1,dispf1
8,3,7,1079,2000,507,507,1,550.89,709,1000,1319.2
8,4,7,1085,2000,507,507,1,550.89,709,1000,1319.2
9,0,10,NaN,NaN,110,110,1,13,183.13,500,819.17
9,1,6,1057,2000,406,406,1,452.9,669.25,800,1119.2
9,2,6,983,2000,506,506,1,576.9,758.31,900,1219.2
9,3,6,909,2000,606,606,1,668.9,825.6,1000,1319.2
9,4,6,905,2000,606,606,1,668.9,825.6,1000,1319.2
10,0,10,NaN,NaN,110,110,1,-10,160.06,500,819.17
10,1,7,NaN,NaN,307,307,1,341.84,547.8,800,1119.2
10,2,6,1063,2000,406,406,1,439.84,660.37,900,1219.2
10,3,7,1095,2000,507,507,1,545.84,705.29,1000,1319.2
10,4,7,1103,2000,507,507,1,545.84,705.29,1000,1319.2
11,0,10,NaN,NaN,110,110,1,7,177.58,500,819.17
11,1,7,NaN,NaN,407,407,1,457.35,636.46,800,1119.2
11,2,6,1011,2000,506,506,1,559.35,746.37,900,1219.2
11,3,5,889,2000,605,605,1,671.35,866.25,1000,1319.2
11,4,5,883,2000,605,605,1,671.35,866.25,1000,1319.2
12,0,10,NaN,NaN,110,110,1,-5,165.21,500,819.17
12,1,8,NaN,NaN,308,308,1,340.99,517.72,800,1119.2
12,2,7,NaN,NaN,407,407,1,438.99,622.99,900,1219.2
12,3,6,1015,2000,506,506,1,556.99,744.76,1000,1319.2
12,4,6,1023,2000,506,506,1,556.99,744.76,1000,1319.2
12,5,6,947,2000,606,606,1,650.99,813.42,1000,1319.2
12,6,6,943,2000,606,606,1,650.99,813.42,1000,1319.2
12,7,6,949,2000,606,606,1,650.99,813.42,1000,1319.2
13,0,10,NaN,NaN,110,110,1,7,176.74,500,819.17
13,1,8,NaN,NaN,308,308,1,360.51,532.78,800,1119.2
13,2,7,1075,2000,507,507,1,568.51,721.92,900,1219.2
14,0,10,NaN,NaN,110,110,1,-10,160.23,500,819.17
14,1,8,NaN,NaN,308,308,1,350,524.67,800,1119.2
14,2,7,NaN,NaN,407,407,1,438,622.27,900,1219.2
14,3,7,1087,2000,507,507,1,548,706.88,1000,1319.2
14,4,7,1091,2000,507,507,1,548,706.88,1000,1319.2
15,0,10,NaN,NaN,110,110,1,2,172.08,500,819.17
15,1,8,NaN,NaN,308,308,1,359.86,532.28,800,1119.2
15,2,6,1007,2000,506,506,1,559.86,746.72,900,1219.2
16,0,10,NaN,NaN,110,110,1,-19,151.18,500,819.17
16,1,8,NaN,NaN,308,308,1,334.95,513.07,800,1119.2
16,2,6,1067,2000,406,406,1,424.95,650.25,900,1219.2
16,3,6,1039,2000,506,506,1,548.95,739.3,1000,1319.2
16,4,6,1033,2000,506,506,1,548.95,739.3,1000,1319.2
17,0,10,NaN,NaN,110,110,1,-4,166.29,500,819.17
17,1,8,NaN,NaN,308,308,1,354.07,527.81,800,1119.2
17,2,7,NaN,NaN,407,407,1,450.07,631.11,900,1219.2
17,3,6,1031,2000,506,506,1,556.07,744.14,1000,1319.2
17,4,6,1025,2000,506,506,1,556.07,744.14,1000,1319.2
17,5,6,935,2000,606,606,1,656.07,816.87,1000,1319.2
17,6,6,927,2000,606,606,1,656.07,816.87,1000,1319.2
17,7,6,931,2000,606,606,1,656.07,816.87,1000,1319.2
17,8,5,853,2000,705,705,1,750.07,919.39,1100,1419.2
17,9,5,867,2000,705,705,1,750.07,919.39,1100,1419.2
17,10,5,861,2000,705,705,1,750.07,919.39,1100,1419.2
17,11,5,871,2000,705,705,1,750.07,919.39,1100,1419.2
17,12,5,859,2000,705,705,1,750.07,919.39,1100,1419.2
18,0,10,NaN,NaN,110,110,1,6,175.84,500,819.17
18,1,8,NaN,NaN,308,308,1,365.62,536.72,800,1119.2
18,2,7,NaN,NaN,407,407,1,449.62,630.79,900,1219.2
18,3,6,989,2000,506,506,1,565.62,750.63,1000,1319.2
18,4,6,995,2000,506,506,1,565.62,750.63,1000,1319.2
19,0,10,NaN,NaN,110,110,1,-2.21,168.01,500,819.17
19,1,8,NaN,NaN,308,308,1,355.79,529.14,800,1119.2
19,2,7,NaN,NaN,407,407,1,443.79,626.51,900,1219.2
19,3,6,999,2000,506,506,1,563.79,749.39,1000,1319.2
19,4,6,1003,2000,506,506,1,563.79,749.39,1000,1319.2
19,5,6,925,2000,606,606,1,659.79,819.4,1000,1319.2
19,6,6,915,2000,606,606,1,659.79,819.4,1000,1319.2
19,7,6,919,2000,606,606,1,659.79,819.4,1000,1319.2
20,0,11,NaN,NaN,111,111,1,13,170.77,500,795.14
20,1,8,NaN,NaN,308,308,1,347.37,522.64,800,1095.1
20,2,7,NaN,NaN,407,407,1,433.37,618.87,900,1195.1
20,3,7,NaN,NaN,507,507,1,539.37,700.54,1000,1295.1
20,4,7,NaN,NaN,507,507,1,539.37,700.54,1000,1295.1
