id_phen,index_phytomer,TT_em_phytomer,TT_col_phytomer,TT_sen_phytomer,TT_del_phytomer
507.0,6.0,852.096994204,1040.34499777,1867.20645878,2220.17146662
507.0,7.0,969.751996433,1158.0,1971.54928065,3000.0
508.0,0.0,164.796021795,334.414985483,678.19355739,996.229114305
508.0,1.0,270.8078741,440.426837788,821.601375399,1139.63693231
508.0,2.0,376.819726405,546.438690093,995.953273236,1313.98883015
508.0,3.0,482.83157871,652.450542397,1170.30517107,1488.34072799
508.0,4.0,588.843431015,758.462394702,1410.9826241,1729.01818102
508.0,5.0,694.855283319,864.474247007,1611.36863377,1929.40419069
508.0,6.0,800.867135624,970.486099312,1766.8376429,2084.87319982
508.0,7.0,906.878987929,1076.49795162,1891.7162627,2209.75181962
508.0,8.0,1012.89084023,1182.50980392,1996.05908457,3000.0
506.0,0.0,121.328262658,334.414985483,677.175662085,1076.71326738
506.0,1.0,254.507464423,467.594187249,1103.63784339,1503.17544869
506.0,2.0,387.686666189,600.773389015,1361.96301626,1761.50062156
506.0,3.0,520.865867955,733.952590781,1562.34902593,1961.88663123
506.0,4.0,654.045069721,867.131792547,1717.81803506,2117.35564036
506.0,5.0,787.224271487,1000.31099431,1842.69665486,2242.23426016
506.0,6.0,920.403473253,1133.49019608,1947.03947673,3000.0
509.0,0.0,179.285274841,334.414985483,648.827178703,939.695386157
509.0,1.0,276.241343992,431.371054634,745.783247854,1036.65145531
509.0,2.0,373.197413143,528.327123785,894.168635643,1185.0368431
509.0,3.0,470.153482295,625.283192936,1045.30437101,1336.17257846
509.0,4.0,567.109551446,722.239262088,1196.44010637,1487.30831382
509.0,5.0,664.065620597,819.195331239,1435.49242803,1726.36063548
509.0,6.0,761.021689748,916.15140039,1635.87843769,1926.74664515
509.0,7.0,857.977758899,1013.10746954,1791.34744683,2082.21565428
509.0,8.0,954.93382805,1110.06353869,1916.22606662,2207.09427408
509.0,9.0,1051.8898972,1207.01960784,2020.5688885,3000.0
607.0,0.0,281.035609152,446.052240008,711.685466366,1021.09164948
607.0,1.0,384.171003437,549.187634292,932.1272696,1241.53345272
607.0,2.0,487.306397722,652.323028577,1152.56907371,1461.97525683
607.0,3.0,590.441792006,755.458422862,1396.47282018,1705.8790033
607.0,4.0,693.577186291,858.593817146,1596.85882985,1906.26501296
607.0,5.0,796.712580575,961.729211431,1752.32783898,2061.7340221
607.0,6.0,899.84797486,1064.86460572,1877.20645878,2186.6126419
607.0,7.0,1002.98336914,1168.0,1981.54928065,2290.95546377
606.0,0.0,260.068785533,446.052240385,687.175662085,1035.89463993
606.0,1.0,376.308444816,562.291899667,1113.63784339,1462.35682123
606.0,2.0,492.548104098,678.531558949,1371.96301626,1720.68199411
606.0,3.0,608.78776338,794.771218232,1572.34902593,1921.06800377
606.0,4.0,725.027422662,911.010877514,1727.81803506,2076.53701291
606.0,5.0,841.267081945,1027.2505368,1852.69665486,2201.41563271
606.0,6.0,957.506741227,1143.49019608,1957.03947673,2305.75845458
608.0,0.0,296.760727678,446.052240385,736.195269929,1016.11685625
608.0,1.0,390.06792312,539.359435827,884.831925952,1164.75351228
608.0,2.0,483.375118562,632.666631269,1033.46858198,1313.3901683
608.0,3.0,576.682314004,725.973826711,1182.105238,1462.02682433
608.0,4.0,669.989509446,819.281022153,1420.9826241,1700.90421043
608.0,5.0,763.296704888,912.588217595,1621.36863377,1901.2902201
608.0,6.0,856.60390033,1005.89541304,1776.8376429,2056.75922923
608.0,7.0,949.911095772,1099.20260848,1901.7162627,2181.63784903
608.0,8.0,1043.21829121,1192.50980392,2006.05908457,2285.9806709
707.0,0.0,374.110983661,523.671730887,721.685466692,1026.28189688
707.0,1.0,467.586450677,617.147197903,842.972767274,1147.56919746
707.0,2.0,561.061917693,710.622664919,1156.08233057,1460.67876076
707.0,3.0,654.537384709,804.098131935,1406.47282018,1711.06925037
707.0,4.0,748.012851726,897.573598951,1606.85882985,1911.45526004
707.0,5.0,841.488318742,991.049065968,1762.32783898,2066.92426917
707.0,6.0,934.963785758,1084.52453298,1887.20645878,2191.80288897
707.0,7.0,1028.43925277,1178.0,1991.54928065,2296.14571084
706.0,0.0,412.891661351,568.807142346,697.175662085,989.517188952
706.0,1.0,510.338836973,666.254317968,1123.63784339,1415.97937025
706.0,2.0,607.786012595,763.70149359,1381.96301626,1674.30454313
706.0,3.0,705.233188217,861.148669212,1582.34902593,1874.69055279
706.0,4.0,802.680363839,958.595844834,1737.81803506,2030.15956193
706.0,5.0,900.127539461,1056.04302046,1862.69665486,2155.03818173
706.0,6.0,997.574715083,1153.49019608,1967.03947673,2259.3810036
705.0,0.0,389.551702407,568.807142346,672.665858164,1008.76980805
705.0,1.0,501.586352369,680.841792308,1357.45321234,1693.55716223
705.0,2.0,613.621002331,792.87644227,1557.83922201,1893.94317189
705.0,3.0,725.655652293,904.911092233,1713.30823114,2049.41218103
705.0,4.0,837.690302255,1016.94574219,1838.18685094,2174.29080082
705.0,5.0,949.724952217,1128.98039216,1942.52967281,2278.6336227
