rank,lindex,x,y
1,19,7.1019548216310895,-1.3900000000000006
1,19,7.6833858769794885,-2.489999999999995
1,19,8.56606181124706,-3.9399999999999977
1,20,0.0,0.0
1,20,0.7939464675158847,0.5399999999999991
1,20,1.8501606443525913,3.9200000000000017
1,20,4.05281798530775,9.630000000000003
1,20,1.9781973507375763,11.240000000000002
1,20,-0.709172780335558,11.050000000000004
1,20,-4.073430240061179,6.289999999999999
1,20,-6.607516529343109,4.340000000000003
1,20,-7.884995752685625,3.3100000000000023
1,21,0.0,0.0
1,21,-1.1477818751745947,0.9300000000000068
1,21,-1.6028185742945849,-0.060000000000002274
1,21,-1.9260934870073334,1.75
1,21,-0.5340849070031437,4.040000000000006
1,21,0.992309838278862,6.799999999999997
1,21,2.4211067433222517,8.760000000000005
1,21,4.074425101761066,11.36
1,21,6.335706652783664,13.409999999999997
1,21,7.240368720318589,15.210000000000008
1,21,7.314295727788023,16.739999999999995
1,22,0.0,0.0
1,22,-0.10928707040141461,0.28999999999999915
1,22,-0.06643141169480593,1.9699999999999989
1,22,0.3910623410914926,3.4000000000000004
1,22,1.2166217732738625,4.58
1,22,1.7954169173300012,4.24
1,22,3.2921866116815197,4.24
1,22,4.776463650134252,2.5
1,22,5.657748975689975,0.3199999999999994
1,22,6.213891451397843,-1.7000000000000002
1,22,6.5762435855756465,-3.5100000000000002
1,22,7.0964855795005395,-5.710000000000001
1,23,0.0,0.0
1,23,0.5628018245036284,0.5199999999999996
1,23,1.5120712572271495,1.8999999999999986
1,23,2.4927241094581705,3.8999999999999986
1,23,3.738004697920208,5.630000000000003
1,23,4.897028287163649,7.5
1,23,5.816887615205644,9.269999999999996
1,23,6.921164036543399,11.199999999999996
1,23,7.87807390496,12.68
1,23,8.523312510835686,14.009999999999998
1,23,9.59767318027027,15.439999999999998
1,23,8.746500635721205,13.64
1,23,8.742743623777368,12.339999999999996
1,23,7.780293046299073,11.43
1,23,6.734900040227076,10.780000000000001
1,23,6.884176702071498,10.199999999999996
1,24,0.0,0.0
1,24,0.19345244206661683,0.14000000000000057
1,24,1.2662432845652702,1.3500000000000085
1,24,3.0422356847364407,1.8599999999999994
1,24,4.384532424898722,2.240000000000009
1,24,5.709088572059517,1.8700000000000045
1,24,7.948605970220125,1.1400000000000006
1,24,9.473753885400358,-0.36999999999999034
1,24,10.326657003579202,-1.9699999999999989
1,24,11.361915470799197,-3.6399999999999935
1,24,11.862686568023786,-4.479999999999997
1,24,12.269946945779475,-5.579999999999998
1,24,12.728310027895473,-6.479999999999997
1,24,13.153665160064653,-7.439999999999998
1,25,0.0,0.0
1,25,-0.4599324839553267,0.0
1,25,0.0021725657228237605,1.4500000000000028
1,25,0.5401521585784712,5.609999999999999
1,25,1.2881445987489737,8.450000000000003
1,25,1.9097178430295005,10.429999999999993
1,25,2.6587691068089887,11.969999999999999
1,25,2.4195750025204767,13.649999999999991
1,25,1.5269875255704075,14.730000000000004
1,25,1.329208964670955,16.060000000000002
1,25,1.1980332501556155,17.200000000000003
1,25,0.9362468797969115,18.14999999999999
1,26,0.0,0.0
1,26,0.25922278699664414,1.4200000000000017
1,26,0.8986870390851442,3.1799999999999997
1,26,2.2718551428518095,7.289999999999999
1,26,3.6436960494284554,7.689999999999998
1,26,4.8472762362686135,8.04
1,26,7.926885742783568,7.219999999999999
1,26,10.265019448900539,5.890000000000001
1,26,11.173469232490522,5.519999999999996
1,27,0.0,0.0
1,27,-0.041430825317250175,-0.060000000000002274
1,27,1.1616838978247728,1.3999999999999915
1,27,4.573604172261174,5.170000000000002
1,27,6.675269723240544,8.429999999999993
1,27,8.651785174486317,11.14
1,27,10.051672703229798,13.329999999999998
1,27,11.205712079517134,14.83999999999999
1,27,11.73255521638109,16.679999999999993
1,27,12.115692643411087,17.47
1,27,12.146831983346296,17.75
1,28,0.0,0.0
1,28,-0.08985396905717336,0.030000000000001137
1,28,-0.4289248832870829,3.0600000000000023
1,28,0.05347748009549269,5.700000000000003
1,28,-0.5174945296026752,9.030000000000001
1,28,3.066012996027815,9.11
1,28,5.560639140381337,8.129999999999995
1,28,8.317132911500517,7.049999999999997
1,28,9.758384682773295,6.939999999999998
1,29,0.0,0.0
1,29,1.197759077748997,2.520000000000003
1,29,2.6863281016865566,5.970000000000006
1,29,4.604043999019188,9.639999999999993
1,29,4.7957014910655085,11.100000000000001
1,29,6.0699072222884505,13.809999999999995
1,29,7.224236934869494,16.21
1,30,0.0,0.0
1,30,1.26807040731601,1.0499999999999972
1,30,3.1490705879302476,3.059999999999995
1,30,5.411293045346058,5.609999999999999
1,30,8.228160739961014,5.909999999999997
1,30,11.651751196757939,4.140000000000001
1,30,12.477509565897567,3.5700000000000003
1,30,13.377580514357312,3.1000000000000014
1,30,13.139352605108105,3.1499999999999986
1,31,0.0,0.0
1,31,0.293966853781396,-0.04999999999999716
1,31,0.8131120929827818,0.3999999999999986
1,31,1.3084689592327994,0.7700000000000031
1,31,1.2492139603259966,1.5399999999999991
1,31,1.8768747586100405,1.9600000000000009
1,31,2.7757120264805524,2.0799999999999983
1,31,3.084917221348578,2.3800000000000026
1,31,4.194961032048935,2.8599999999999994
1,31,4.9926714267419285,3.259999999999998
1,31,6.277754777633433,3.6400000000000006
1,31,6.721259882048358,2.759999999999998
1,31,7.435211977033353,2.1000000000000014
1,31,8.641646675702496,1.1200000000000045
1,31,9.332942641362594,0.6400000000000006
1,31,10.057426194558635,0.14000000000000057
