rankclass,s,r
6,0.1724137931034483,0.8871258041766545
6,0.20689655172413793,0.9074963426893552
6,0.24137931034482757,0.9301140283085638
6,0.27586206896551724,0.9453611394200462
6,0.3103448275862069,0.9562593753019547
6,0.3448275862068966,0.9726315290663438
6,0.3793103448275862,0.9867260666847221
6,0.41379310344827586,0.9918268549032195
6,0.4482758620689655,0.9992269393446858
6,0.48275862068965514,0.999421894393317
6,0.5172413793103449,0.9924073476337059
6,0.5517241379310345,0.9808905228950502
6,0.5862068965517241,0.9618602395894761
6,0.6206896551724138,0.918235850529817
6,0.6551724137931034,0.8603134131968044
6,0.6896551724137931,0.8026736594138264
6,0.7241379310344828,0.74755772488203
6,0.7586206896551724,0.6941810792532425
6,0.7931034482758621,0.6390156146532282
6,0.8275862068965517,0.5797588224032305
6,0.8620689655172413,0.51075872295367
6,0.896551724137931,0.4325463354784114
6,0.9310344827586207,0.3469637847667467
6,0.9655172413793103,0.21922353963283434
6,1.0,0.0
