id_axis,N_phytomer_potential,index_phytomer,L_blade,W_blade,L_sheath,W_sheath,L_internode,W_internode
T3,5,2,11.3,0.6612,4.7611,0.4,0,0
T3,5,3,15.25,1.0233,6.795,0.4,0,0
T3,5,4,18,1.0918,8.865,0.4,0.6333,0.325
T3,5,5,18.2,1.1481,8.7898,0.4,2.5667,0.325
T4,5,1,9.608850546,0.3803515,3.82676117,0.158,0,0
T4,5,2,11.7250269,0.5442812,5.956730636,0.20356,0,0
T4,5,3,14.69459162,0.7082109,8.548324023,0.24912,1.559759892,0
T4,5,4,17.32117653,0.8721406,10.02994321,0.29468,5.045213018,0.0644
T4,5,5,16.87774345,1.0360703,10.71777847,0.34024,10.32650862,0.3
T4,6,1,8.915585659,0.3803515,3.220426747,0.158,0,0
T4,6,2,10.21367983,0.516959583,4.424948139,0.195966667,0,0
T4,6,3,12.57622008,0.653567667,6.777371817,0.233933333,0,0
T4,6,4,15.4996127,0.79017575,9.094823589,0.2719,3.176753015,0
T4,6,5,17.62441742,0.926783833,10.15854279,0.309866667,5.671878024,0.0644
T4,6,6,16.12106904,1.063391917,11.09343611,0.347833333,11.83492203,0.3
T4,7,1,8.915585659,0.3803515,3.220426747,0.158,0,0
T4,7,2,10.21367983,0.516959583,4.424948139,0.195966667,0,0
T4,7,3,12.57622008,0.653567667,6.777371817,0.233933333,0,0
T4,7,4,15.4996127,0.79017575,9.094823589,0.2719,3.176753015,0
T4,7,5,17.62441742,0.926783833,10.15854279,0.309866667,5.671878024,0.0644
T4,7,6,16.12106904,1.063391917,11.09343611,0.347833333,11.83492203,0.3
T4,7,7,15.12106904,1.233919167,12.09343611,0.387833333,16.83492203,0.5356
